, again, air, along, also, always, another, any, around, away, back, because, below, between, big, both, came, children, come, day, different, end, even, every, few, find, food, form, get, give, go, great, help, here, home, house, important, keep, large, last, left, line, look, me, men, might, much, must, name, never, new, next, number, off, old, our, own, part, place, put, right, same, set, show, something, sound, still, such, take, tell, think, thought, three, through, together, too, under, until, us, want, well, went, while, why, work, world, 
set, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.143, 0.333, 0.200, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.167, 0.333, 0.333, 0.333, 0.333, 0.333, 0.250, 0.333, 0.333, 0.250, 0.333, 0.333, 0.333, 0.333, 0.333, 0.250, 0.333, 0.083, 0.250, 0.167, 0.333, 0.333, 0.500, 0.333, 0.333, 0.333, 0.250, 0.333, 0.333, , 0.333, 0.333, 1.000, 1.000, 0.333, 0.333, 0.000, 0.333, , 0.333, 0.333, , 0.500, 0.333, 0.333, 0.333, 0.125, , , , , , 0.125, 0.333, 0.167, 0.333, 0.143, 0.143, 0.500, 0.250, 
show, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.100, 0.333, 0.143, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.143, 0.250, 0.333, 0.500, 0.333, 0.333, 0.250, 0.333, 0.333, 0.250, 0.333, 0.333, 0.333, 0.333, 0.333, 0.250, 0.333, 0.083, 0.143, 0.125, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.000, , 0.333, 0.250, , 0.500, 0.333, 0.333, 0.333, 0.091, , , , , , 0.100, 0.333, 0.167, 0.333, 0.100, 0.125, 0.333, 0.143, 
something, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.000, , , , , , , , , , , , , , , , , , , , , , 
sound, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.143, 0.333, 0.143, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.143, 0.250, 0.333, 0.333, 1.000, 0.333, 0.250, 0.333, 0.333, 0.250, 0.333, 0.333, 0.333, 0.333, 0.333, 0.250, 0.500, 0.083, 0.167, 0.200, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.250, 0.333, 0.333, , 0.333, 0.333, 0.250, 0.250, 0.333, 0.333, 0.333, 0.333, , 0.000, 0.250, , 0.333, 0.250, 0.333, 0.333, 0.111, , , , , , 0.143, 0.333, 0.167, 1.000, 0.111, 0.125, 0.333, 0.200, 
still, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, , 0.250, 0.250, 0.250, 0.250, 0.250, 0.100, 0.250, 0.125, 0.250, 0.333, 1.000, 0.250, 0.250, 0.250, 0.125, 0.333, 0.333, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.200, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.077, 0.200, 0.167, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.200, 0.250, 0.250, , 0.250, 0.250, 0.200, 0.333, 0.333, 0.250, 0.333, 0.250, , 0.250, 0.000, , 0.333, 0.250, 0.333, 0.333, 0.083, , , , , , 0.083, 0.333, 0.167, 0.333, 0.091, 0.091, 0.333, 0.125, 
such, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.000, 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
take, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.100, 0.333, 0.143, 0.333, 0.333, 0.333, 0.333, 0.333, 0.500, 0.143, 0.333, 1.000, 0.333, 0.500, 0.333, 0.250, 0.333, 0.333, 0.250, 0.333, 0.333, 0.333, 0.333, 0.333, 0.250, 0.333, 0.083, 0.125, 0.125, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.500, 0.333, 0.333, 0.333, 0.500, 0.500, , 0.333, 0.333, 0.333, 0.000, 0.333, 0.333, 0.333, 0.067, , , , , , 0.077, 0.333, 0.167, 0.500, 0.071, 0.077, 0.500, 0.091, 
tell, 0.250, 0.500, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, , 0.250, 0.250, 0.250, 0.250, 0.250, 0.200, 0.250, 0.143, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.125, 0.200, 0.250, 0.500, 0.250, 0.250, 0.200, 0.250, 0.250, 0.200, 0.250, 0.250, 0.250, 0.250, 0.500, 0.200, 0.250, 0.077, 0.200, 0.111, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.200, 0.250, 0.250, , 0.250, 0.250, 0.500, 0.200, 0.250, 0.250, 0.333, 0.333, , 0.250, 0.250, 0.250, 0.333, 0.000, 0.250, 0.250, 0.077, , , , , , 0.091, 0.250, 0.143, 0.250, 0.077, 0.077, 0.333, 0.111, 
think, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.100, 0.333, 0.143, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.143, 0.333, 0.333, 0.500, 0.333, 0.333, 0.250, 0.333, 0.333, 0.250, 0.333, 0.333, 0.333, 0.333, 0.333, 0.250, 0.333, 0.083, 0.125, 0.125, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.250, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.250, 0.000, 1.000, 0.067, , , , , , 0.067, 0.333, 0.167, 0.333, 0.071, 0.083, 0.333, 0.100, 
thought, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.100, 0.333, 0.143, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.500, 0.333, 0.333, 0.250, 0.333, 0.333, 0.250, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.083, 0.143, 0.125, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.250, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.250, 1.000, 0.000, 0.091, , , , , , 0.091, 0.333, 0.167, 0.333, 0.100, 0.125, 0.333, 0.250, 
three, , 0.125, , , , , , , , 0.083, , , , , , , 0.091, 0.111, 0.125, , 0.125, 0.100, , 0.077, 0.091, 0.111, 0.111, 0.056, 0.083, 0.083, 0.083, 0.083, 0.091, 0.091, 0.083, , 0.083, 0.091, 0.125, 0.077, 0.125, 0.091, 0.062, 0.111, 0.091, 0.111, 0.091, 0.111, , , , 0.250, , 0.091, , , 0.143, 0.111, 0.067, 0.077, 0.077, 0.125, 0.091, , 0.111, 0.083, , 0.067, 0.077, 0.067, 0.091, 0.000, , , , , , 0.111, 0.333, 0.167, 0.333, 0.100, 0.083, 0.333, 0.111, 
through, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.000, , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
together, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.000, , , , , 0.333, 0.167, 0.333, , , 0.333, , 
too, , , , 1.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.000, , , , 0.333, 0.167, 0.333, , , 0.333, , 
under, , , , , , , , , , , , 1.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.000, , , 0.333, 0.167, 0.333, , , 0.333, , 
until, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.000, , , , , , , , , 
us, , 0.167, , , , , , , , 0.100, , , , , , , 0.111, 0.143, 0.100, , 0.100, 0.083, , 0.077, 0.091, 0.143, 0.125, 0.056, 0.083, 0.083, 0.100, 0.100, 0.125, 0.125, 0.111, , 0.100, 0.091, 0.091, 0.111, 0.125, 0.091, 0.143, 0.111, 0.091, 0.091, 0.111, 0.143, , , , 0.167, , 0.091, , , 0.200, 0.143, 0.071, 0.111, 0.091, 0.125, 0.100, , 0.143, 0.083, , 0.077, 0.091, 0.067, 0.091, 0.111, , , , , , 0.000, 0.111, 0.091, 0.100, 0.083, 0.083, 0.100, 0.111, 
